"_oid","_parent_oid","_last_modified","file_class","file_creationInfo_agencyID","file_creationInfo_agencyURI_resourceID","file_creationInfo_agencyURI_used","file_creationInfo_author","file_creationInfo_authorURI_resourceID","file_creationInfo_authorURI_used","file_creationInfo_creationTime","file_creationInfo_creationTime_ms","file_creationInfo_version","file_creationInfo_used","file_description","file_filename","file_type","file_url"
83276,1,2016-05-30 15:41:59,picture,,,0,,,0,,,,0,Site overview. The sensor is installed in the buried basement of this building. Main noise sources are the heating system and people.,"20151130_102810.jpg",image/jpeg,/stationbook-files/Z3/A251A/20151130_102810.jpg
83278,1,2016-05-30 15:43:11,picture,,,0,,,0,,,,0,Final configuration of the installation. GPS antenna is ouside the window. The stations has main power and stream the data in real time.,"20151130_120858.jpg",image/jpeg,/stationbook-files/Z3/A251A/20151130_120858.jpg
83280,1,2016-05-30 15:44:08,picture,,,0,,,0,,,,0,STS-2 place on tiles. The digitizer is a Taurus.,"20151130_115106.jpg",image/jpeg,/stationbook-files/Z3/A251A/20151130_115106.jpg
83285,1,2016-05-30 16:00:47,picture,,,0,,,0,,,,0,Entrance of the cellar where the sensor is installed.,"20160113_142115_resized.jpg",image/jpeg,/stationbook-files/Z3/A272A/20160113_142115_resized.jpg
83287,1,2016-05-30 16:02:00,picture,,,0,,,0,,,,0,GPS and GPRS antenna are installed outside the building. The station has main power and streams the data in real time.,"20160113_141303_resized.jpg",image/jpeg,/stationbook-files/Z3/A272A/20160113_141303_resized.jpg
83289,1,2016-05-30 16:02:57,picture,,,0,,,0,,,,0,Final configuration of the sensor installation. Trillium compact sensor is placed on tiles. The digitizer is a Taurus.,"20160113_141113_resized.jpg",image/jpeg,/stationbook-files/Z3/A272A/20160113_141113_resized.jpg
83292,1,2016-05-30 16:05:21,picture,,,0,,,0,,,,0,Building overview. The small building is in a cemetery.,"20160113_092747_resized.jpg",image/jpeg,/stationbook-files/Z3/A271A/20160113_092747_resized.jpg
83294,1,2016-05-30 16:05:59,picture,,,0,,,0,,,,0,Trillium Compact 120s. The digitizer is a Taurus.,"20160113_095708_resized.jpg",image/jpeg,/stationbook-files/Z3/A271A/20160113_095708_resized.jpg
83296,1,2016-05-30 16:06:28,picture,,,0,,,0,,,,0,Thermal isolation. ,"20160113_101828_resized.jpg",image/jpeg,/stationbook-files/Z3/A271A/20160113_101828_resized.jpg
83298,1,2016-05-30 16:07:16,picture,,,0,,,0,,,,0,Final configuration of the installation. The stations has main power form the building and stream the data in real time.,"20160113_104243_resized.jpg",image/jpeg,/stationbook-files/Z3/A271A/20160113_104243_resized.jpg
106171,1,2017-03-20 12:53:20,picture,,,0,,,0,,,,0,Sensor is installed directly on the ground in a corner of the building using the standard Nanometrics insulation case ,DSCF2828.jpg,image/jpeg,/stationbook-files/Z3/A015A/DSCF2828.jpg
106173,1,2017-03-20 14:37:25,picture,,,0,,,0,,,,0,The station is installed in the building on the left ,DSCF2829.jpg,image/jpeg,/stationbook-files/Z3/A015A/DSCF2829.jpg
